tag,name,description,requiredTrophies,score,trophies
#8LGRYC,CrownTown☀️,Goal: It's a trap!. Our trait: Chuck Norris can divide by zero.,7000,72137,2465
#2CQQVQCU,Nova l Hispania,"Goal: The Shield is down! Commence attack on the Death star's main reactor. Our trait: Chuck Norris doesn't need a java compiler, he goes straight to .war.",7000,70743,2885
#L0YJ02YL,硬中华,Goal: I've got a bad feeling about this. Our trait: Chuck Norris can compile syntax errors.,7000,70332,277
#28V2QQ9C,Rocket's,"Goal: You can run, but you'll only die tired. Our trait: Chuck Norris can spawn threads that complete before they are started.",6600,69924,2785
#P0LLG9RG,QLASH Eclipse,"Goal: R2-D2, you know better than to trust a strange computer. Our trait: When Chuck Norris' code fails to compile the compiler apologises.",7000,69719,3395
#QCJ0J9UP,KingZ Rush,"Goal: We're doomed. Our trait: Chuck Norris' keyboard doesn't have a F1 key, the computer asks him for help.",6600,69492,20
#PJY9PP98,Always Baked,"Goal: Twice the pride, double the fall. Our trait: When Chuck Norris presses Ctrl+Alt+Delete, worldwide computer restart is initiated.",6600,68664,2830
#Y0QR0Y2U,NoA,Goal: I find your lack of faith disturbing. Our trait: Chuck Norris doesn't get compiler errors.,6600,68837,2705
#PV2G9U2L,darkzero,Goal: You are unwise to lower your defenses. Our trait: Chuck Norris's first program was kill -9.,6600,68396,2700
#8YLJ8UL2,Spacestation,Goal: There is a great disturbance in the Force. Our trait: Chuck Norris can solve the Towers of Hanoi in one move.,6600,67662,2455
#9G2PVP0R,Team Legacy,Goal: Let the hate flow through you. Our trait: Chuck Norris can unit test an entire application with a single assert.,6600,68344,3285
#PPCLCJG9,AK Syndicate,"Goal: Never tell me the odds. Our trait: Chuck Norris doesn't need a debugger, he just stares down the bug until the code confesses.",6600,67825,2690
#L0QPV,UNAUFHALTSAM,"Goal: Solo, la pa loiya Solo. Our trait: Chuck Norris can access private methods.",6600,68386,4485
#9QY9JG09,QLASH Sentry,Goal: You'll find I'm full of surprises. Our trait: Chuck Norris can instantiate an abstract class.,6300,67940,2700
#9CCJ2R02,Nova I Aryayi,Goal: Your overconfidence is your weakness. Our trait: Chuck Norris doesn't need to know about class factory pattern. He can instantiate interfaces.,6600,67399,3740
#VQCQQJP,Nice Strategy,"Goal: The Force will be with you. Always. Our trait: For Chuck Norris, NP-Hard = O(1).",6300,67223,3085
#8YQ9LPPV,Undiscovered™,Goal: Remember your focus determines your reality. Our trait: Chuck Norris knows the last digit of PI.,6600,67545,1694
#9LP9VCJ8,Outcasts™️,Goal: Wars not make one great. Our trait: No statement can catch the ChuckNorrisException.,6300,67255,2705
#9GUCJRL0,Team Solid,"Goal: A Jedi uses the Force for knowledge and defense, never for attack. Our trait: Chuck Norris went out of an infinite loop.",6600,67224,2780
#8VUVGPVC,vikings br,Goal: Do. Or do not. There is no try. Our trait: Chuck Norris can access the DB from the UI.,6300,67314,4250
